
2024/02/08 (18:43:53) | ===> btop++ v.1.3.0
2024/02/08 (18:43:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/02/08 (18:43:53) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/04/03 (20:12:37) | ===> btop++ v.1.3.2
2024/04/03 (20:12:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!

2024/04/05 (03:20:47) | ===> btop++ v.1.3.2
2024/04/05 (03:20:47) | INFO: Logger set to INFO
2024/04/05 (03:20:50) | INFO: Logger set to INFO

2024/04/06 (10:12:59) | ===> btop++ v.1.3.2
2024/04/06 (10:12:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
